id,temp,hum,gas,hpa,date,time
5b2471e605bdcb02fd3dcf42,27,52,145,988,16.6.2018,05:11:50
5b24756b05bdcb02fd3dcf43,27,52,149,988,16.6.2018,05:26:51
5b2478f005bdcb02fd3dcf44,27,51,153,988,16.6.2018,05:41:52
5b247c7405bdcb02fd3dcf45,27,51,151,988,16.6.2018,05:56:52
5b247ff905bdcb02fd3dcf46,27,50,152,988,16.6.2018,06:11:53
5b24837e05bdcb02fd3dcf47,27,50,149,988,16.6.2018,06:26:54
5b24870305bdcb02fd3dcf48,27,50,148,988,16.6.2018,06:41:55
5b248a8705bdcb02fd3dcf49,27,49,156,988,16.6.2018,06:56:55
5b248e0c05bdcb02fd3dcf4a,27,49,158,988,16.6.2018,07:11:56
5b24919105bdcb02fd3dcf4b,27,49,156,988,16.6.2018,07:26:57
5b24951605bdcb02fd3dcf4c,27,49,149,988,16.6.2018,07:41:58
5b24989b05bdcb02fd3dcf4d,27,50,144,988,16.6.2018,07:56:59
5b249c1f05bdcb02fd3dcf4e,27,50,142,989,16.6.2018,08:11:59
5b249fa405bdcb02fd3dcf4f,27,52,144,989,16.6.2018,08:27:00
5b24a32905bdcb02fd3dcf50,27,52,141,989,16.6.2018,08:42:01
5b24a6ae05bdcb02fd3dcf51,27,52,136,989,16.6.2018,08:57:02
5b24aa3305bdcb02fd3dcf52,27,53,132,989,16.6.2018,09:12:03
5b24adb805bdcb02fd3dcf53,27,55,131,989,16.6.2018,09:27:04
5b24b13d05bdcb02fd3dcf54,27,55,135,989,16.6.2018,09:42:05
5b24b4c105bdcb02fd3dcf55,27,55,139,989,16.6.2018,09:57:05
5b24b84605bdcb02fd3dcf56,27,55,137,989,16.6.2018,10:12:06
5b24bbcb05bdcb02fd3dcf57,27,55,135,989,16.6.2018,10:27:07
5b24bf5005bdcb02fd3dcf58,27,55,137,989,16.6.2018,10:42:08
5b24c2d505bdcb02fd3dcf59,27,54,140,989,16.6.2018,10:57:09
5b24c65905bdcb02fd3dcf5a,27,54,141,989,16.6.2018,11:12:09
5b24c9de05bdcb02fd3dcf5b,27,54,143,989,16.6.2018,11:27:10
5b24cd6305bdcb02fd3dcf5c,28,53,139,989,16.6.2018,11:42:11
5b24d0e805bdcb02fd3dcf5d,28,53,139,989,16.6.2018,11:57:12
5b24d46c05bdcb02fd3dcf5e,28,52,139,989,16.6.2018,12:12:12
5b24d7f105bdcb02fd3dcf5f,27,52,143,989,16.6.2018,12:27:13
5b24db7605bdcb02fd3dcf60,27,52,137,988,16.6.2018,12:42:14
5b24defb05bdcb02fd3dcf61,27,52,142,988,16.6.2018,12:57:15
5b24e28005bdcb02fd3dcf62,27,52,144,988,16.6.2018,13:12:16
5b24e60405bdcb02fd3dcf63,27,52,144,988,16.6.2018,13:27:16
5b24e98905bdcb02fd3dcf64,27,51,150,988,16.6.2018,13:42:17
5b24ed0e05bdcb02fd3dcf65,28,55,144,988,16.6.2018,13:57:18
5b24f09305bdcb02fd3dcf66,28,54,154,988,16.6.2018,14:12:19
5b24f41705bdcb02fd3dcf67,28,52,179,988,16.6.2018,14:27:19
5b24f79c05bdcb02fd3dcf68,28,51,180,987,16.6.2018,14:42:20
5b24fb2105bdcb02fd3dcf69,28,48,214,987,16.6.2018,14:57:21
5b24fea605bdcb02fd3dcf6a,28,49,173,987,16.6.2018,15:12:22
5b25022b05bdcb02fd3dcf6b,28,49,214,987,16.6.2018,15:27:23
5b2505af05bdcb02fd3dcf6c,28,51,179,986,16.6.2018,15:42:23
5b25093405bdcb02fd3dcf6d,28,51,155,986,16.6.2018,15:57:24
5b250cb905bdcb02fd3dcf6e,28,52,143,987,16.6.2018,16:12:25
5b25103e05bdcb02fd3dcf6f,28,54,134,987,16.6.2018,16:27:26
5b2513c405bdcb02fd3dcf70,28,53,132,986,16.6.2018,16:42:28
5b25174905bdcb02fd3dcf71,28,53,136,986,16.6.2018,16:57:29
5b251acd05bdcb02fd3dcf72,28,53,143,987,16.6.2018,17:12:29
5b251e5205bdcb02fd3dcf73,28,53,149,987,16.6.2018,17:27:30
5b2521d705bdcb02fd3dcf74,28,54,148,986,16.6.2018,17:42:31
5b25255c05bdcb02fd3dcf75,28,54,145,986,16.6.2018,17:57:32
5b2528e105bdcb02fd3dcf76,28,54,144,987,16.6.2018,18:12:33
5b252c6605bdcb02fd3dcf77,27,54,144,987,16.6.2018,18:27:34
5b252feb05bdcb02fd3dcf78,27,55,144,987,16.6.2018,18:42:35
5b25336f05bdcb02fd3dcf79,27,56,144,989,16.6.2018,18:57:35
5b2536f405bdcb02fd3dcf7a,27,54,146,989,16.6.2018,19:12:36
5b253a7905bdcb02fd3dcf7b,27,54,138,989,16.6.2018,19:27:37
5b253dfe05bdcb02fd3dcf7c,27,54,130,989,16.6.2018,19:42:38
5b25418205bdcb02fd3dcf7d,27,54,129,989,16.6.2018,19:57:38
5b25450705bdcb02fd3dcf7e,27,55,129,989,16.6.2018,20:12:39
5b25488c05bdcb02fd3dcf7f,27,54,131,989,16.6.2018,20:27:40
